HomePlanet,CryoSleep,Destination,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Side,Cabin_region1,Cabin_region2,Cabin_region3,Cabin_region4,Cabin_region5,Cabin_region6,Cabin_region7,Expenditure,No_spending,Solo,UnderAge
3,False,0,39.0,0.0,0.0,0.0,0.0,0.0,False,1,1,True,False,False,False,False,False,False,0.0,1,1,False
1,False,0,24.0,1.7405504459900154,1.1947055233182955,1.448822238365871,1.9892320942500197,1.570002974208493,True,5,0,True,False,False,False,False,False,False,2.028488701461363,0,1,False
3,False,0,58.0,1.5653166550596793,2.217275511411634,0.0,2.283631403104651,1.5916858743493758,False,0,0,True,False,False,False,False,False,False,2.3270846566047227,0,0,False
3,False,0,33.0,0.0,2.098966616276768,1.934255909204192,2.2094525744904527,1.8354346948604652,False,0,0,True,False,False,False,False,False,False,2.256748569305506,0,0,False
1,False,0,16.0,1.9046457503503968,1.6606403793348095,1.795731656444039,1.9931472818006903,0.7412763113750154,True,5,0,True,False,False,False,False,False,False,2.078912171126072,0,1,True
1,False,2,44.0,0.0,1.9715897178889294,0.0,1.8986319116885528,0.0,True,5,1,True,False,False,False,False,False,False,2.035079830026609,0,1,False
1,False,0,26.0,1.5604997616108316,2.121007782628919,0.8697416861919439,0.0,0.0,True,5,0,True,False,False,False,False,False,False,2.1244554999871275,0,0,False
1,True,0,28.0,0.0,0.0,0.0,0.0,0.0,True,6,0,True,False,False,False,False,False,False,0.0,1,0,False
1,False,0,35.0,0.0,2.036919769035797,1.358504720646626,1.8531520084405109,0.0,True,5,0,True,False,False,False,False,False,False,2.070221294694939,0,1,False
3,True,1,14.0,0.0,0.0,0.0,0.0,0.0,True,1,1,True,False,False,False,False,False,False,0.0,1,0,True
3,True,0,34.0,0.0,0.0,0.0,0.0,0.0,True,1,1,True,False,False,False,False,False,False,0.0,1,0,False
3,False,1,45.0,1.5451936315479267,2.2920378187127675,1.9987902423904949,1.742136743805324,1.7627277196400848,True,1,1,True,False,False,False,False,False,False,2.3032602969802713,0,0,False
2,False,0,32.0,1.6684735252826461,0.0,2.0825179335367863,0.0,1.7467966996992919,True,5,1,True,False,False,False,False,False,False,2.1014210155962325,0,1,False
1,False,0,48.0,2.0254144100795135,0.5265890341390446,1.6466671712706678,0.0,1.4395687003478859,False,6,0,True,False,False,False,False,False,False,2.0408350920247402,0,1,False
1,False,0,28.0,1.1622831138840004,2.064637179769757,1.2711498482847257,0.7412763113750154,1.1247482629090362,True,5,1,True,False,False,False,False,False,False,2.068348655015068,0,1,False
1,False,0,31.0,1.503300998004841,0.0,2.0511072646690747,0.0,0.0,False,6,1,False,False,False,True,False,False,False,2.055705186920661,0,1,False
2,False,1,27.0,2.099252650263104,1.7599564649868773,0.0,0.0,0.0,False,5,1,True,False,False,False,False,False,False,2.1102902291250913,0,1,False
1,False,1,24.0,0.0,0.5265890341390446,0.0,0.0,2.009332639181276,False,5,1,True,False,False,False,False,False,False,2.009542606409459,0,1,False
2,True,0,45.0,0.0,0.0,0.0,0.0,0.0,True,5,1,True,False,False,False,False,False,False,0.0,1,1,False
1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,True,6,1,True,False,False,False,False,False,False,0.0,1,0,True
1,False,1,14.0,1.9492542075910286,0.0,0.5265890341390446,0.0,2.017844396873156,False,5,1,True,False,False,False,False,False,False,2.0790266416427854,0,0,True
1,True,0,1.0,0.0,0.0,0.0,0.0,0.0,False,4,0,True,False,False,False,False,False,False,0.0,1,0,True
1,True,1,49.0,0.0,0.0,0.0,0.0,0.0,False,4,0,True,False,False,False,False,False,False,0.0,1,0,False
1,True,1,29.0,0.0,0.0,0.0,0.0,0.0,False,4,0,True,False,False,False,False,False,False,0.0,1,0,False
1,False,0,10.0,0.0,0.0,0.0,0.0,0.0,True,4,0,True,False,False,False,False,False,False,0.0,1,0,True
1,True,2,1.0,0.0,0.0,0.0,0.0,0.0,False,4,0,True,False,False,False,False,False,False,0.0,1,0,True
1,False,0,7.0,0.0,0.0,0.0,0.0,0.0,False,4,0,True,False,False,False,False,False,False,0.0,1,0,True
2,False,0,21.0,2.065415188141318,0.7412763113750154,1.6579414149579819,0.0,0.0,False,3,1,True,False,False,False,False,False,False,2.0742340553907352,0,1,False
3,True,0,62.0,0.0,0.0,0.0,0.0,0.0,True,2,0,True,False,False,False,False,False,False,0.0,1,1,False
1,False,0,15.0,0.0,1.8595014474498321,0.0,2.067717429410521,0.0,False,5,0,True,False,False,False,False,False,False,2.093083005263759,0,1,True
3,False,1,34.0,1.4196068415100236,2.273338824406157,0.0,2.112840498324682,1.9163427015318748,False,2,1,True,False,False,False,False,False,False,2.2995601530711363,0,1,False
2,False,0,43.0,2.082739448688927,0.0,1.7783332269022314,1.5875644833216505,0.0,False,5,1,True,False,False,False,False,False,False,2.1014210155962325,0,1,False
1,False,0,32.0,0.0,2.0472297850184633,1.6876424851132221,1.9575872640248104,1.962640442240814,False,6,0,True,False,False,False,False,False,False,2.1409704695259286,0,1,False
2,False,0,47.0,1.8516996259697707,0.0,2.110547982852574,0.0,2.093685790010467,True,5,1,True,False,False,False,False,False,False,2.1924160484348625,0,0,False
2,False,0,2.0,0.0,0.0,0.0,0.0,0.0,True,5,1,True,False,False,False,False,False,False,0.0,1,0,True
2,False,0,20.0,0.0,0.0,2.1362875431745425,2.066700029059681,0.0,True,5,1,True,False,False,False,False,False,False,2.187856174604013,0,0,False
3,True,1,28.0,0.0,0.0,0.0,0.0,0.0,True,3,0,True,False,False,False,False,False,False,0.0,1,1,False
2,False,1,23.0,2.036753708317309,2.0633284326534964,0.0,2.0616040242258244,0.0,False,3,1,True,False,False,False,False,False,False,2.1861644222461605,0,1,False
1,False,1,15.0,0.0,1.9741517421386063,1.5875644833216505,1.3973634811730353,1.9454031760832335,False,5,0,True,False,False,False,False,False,False,2.062932825955494,0,1,True
1,False,1,20.0,1.9904693499688613,1.8370697219086884,0.0,2.182218707428365,0.0,False,5,0,True,False,False,False,False,False,False,2.2103058726224813,0,1,False
1,True,1,30.0,0.0,0.0,0.0,0.0,0.0,False,6,1,True,False,False,False,False,False,False,0.0,1,1,False
1,True,0,17.0,0.0,0.0,0.0,0.0,0.0,True,6,1,True,False,False,False,False,False,False,0.0,1,1,True
3,False,0,45.0,0.0,1.8092629643515203,1.5745651437258248,2.178023015823787,2.047985752223492,False,1,1,True,False,False,False,False,False,False,2.2172450606705727,0,1,False
1,True,0,55.0,0.0,0.0,0.0,0.0,0.0,False,6,1,True,False,False,False,False,False,False,0.0,1,0,False
1,True,1,4.0,0.0,0.0,0.0,0.0,0.0,True,6,1,True,False,False,False,False,False,False,0.0,1,0,True
